Emissao_CO2,Classificacao_Emissao,Consumo,Classificacao_consumo,Tipo_edificio,Estado_edificio,Ano_construcao,Superficie_m2,Municipio,Provincia,Classificacao
43.37,E,212.58,E,Vivienda individual,Existente,2006,57.12,HUESCA,HUESCA,EE
112.09,G,542.65,G,Vivienda individual,Existente,2004,37.6,HUESCA,HUESCA,GG
59.76,E,229.28,E,Vivienda individual,Existente,1956,42.88,HUESCA,HUESCA,EE
81.93,F,403.4,G,Vivienda individual,Existente,1968,173.64,HUESCA,HUESCA,FG
103.08,G,509.46,G,Vivienda individual,Existente,1995,88,HUESCA,HUESCA,GG
35.22,E,173.08,E,Vivienda individual,Existente,1999,70,HUESCA,HUESCA,EE
117.78,G,301.71,G,Vivienda individual,Existente,1985,85,HUESCA,HUESCA,GG
40.14,D,151.89,D,Local,Existente,2001,77,HUESCA,HUESCA,DD
25.06,D,121.84,D,Vivienda individual,Existente,2003,72,HUESCA,HUESCA,DD
80.98,F,307.33,E,Vivienda individual,Existente,1970,48.44,HUESCA,HUESCA,FE
57.54,E,284.38,E,Vivienda individual,Existente,1900,50.49,HUESCA,HUESCA,EE
67.7,E,334.7,F,Vivienda individual,Existente,1962,154.54,HUESCA,HUESCA,EF
69.54,E,272.89,D,Vivienda individual,Existente,1967,80.05,HUESCA,HUESCA,ED
101.35,G,396.08,G,Vivienda individual,Existente,1967,80.05,HUESCA,HUESCA,GG
98.3,G,395.34,G,Vivienda individual,Existente,1993,74,HUESCA,HUESCA,GG
83.91,D,335.86,D,Local,Existente,1976,1305.14,HUESCA,HUESCA,DD
31.15,D,152.49,E,Vivienda individual,Existente,1957,81,HUESCA,HUESCA,DE
204.09,F,820.75,E,Local,Existente,1999,142.44,HUESCA,HUESCA,FE
79.41,F,392.67,G,Vivienda individual,Existente,1962,132.72,HUESCA,HUESCA,FG
126.34,G,494.72,G,Vivienda individual,Existente,1900,47.44,HUESCA,HUESCA,GG
48.84,E,185.69,E,Vivienda individual,Existente,1970,111.75,HUESCA,HUESCA,EE
43.42,E,212.62,E,Vivienda individual,Existente,1960,52.99,HUESCA,HUESCA,EE
